meter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
BR32,1.0241497845993144,1.0206644174959567,1.0015931506158646,0.984000837729185,0.9387324347280117,0.9006519549815368,0.5918401557555745,0.4433035316059622,0.8268283633383163,1.1748376145575268,1.5147177899807762,1.3141075059931682,1.1536875382181622,1.3419387311419362,1.3141592176712595,0.8780849786624689,0.6727792743041655,0.7359916296030395,0.8000934257650851,0.9692733518087667,1.2283695437176991,1.1205300102259843,1.0334889136626133,1.0161758438376272,1
BR33,1.0950945874606666,1.0279543253343089,0.9762772736531004,0.9359532113180725,0.9279721994754149,0.9605347277934582,0.5918917907811001,0.746603705351019,1.0234051485839941,1.0998831945662613,0.9953518919570524,0.9512168964671552,1.0148654659123504,1.027275939327683,0.901714670513071,0.6771689023198973,0.7764526896425589,0.8389839174297817,0.9866525890485555,1.1929218401220432,1.1907071093357056,1.243840695678199,1.4087882579363267,1.408488969992227,1
BR34,1.2734319541544539,1.3020920546505657,1.3081106757547492,1.239326434564081,1.1937568747752638,1.1081268634041035,0.5420261894936849,0.4385950712588286,0.40847012118180454,0.50913076303537,0.5000232199888279,0.5879141948435702,0.8097433726834744,0.9563875535552456,0.8348050383395187,0.6765694390448755,0.795190410542671,0.8210481901013852,1.102585910641522,1.5739171855781313,1.6993528920827796,1.6669988230782806,1.4488954583028708,1.2035013089439417,1
BR35,0.798245466048081,0.7091296252481715,0.6828708685231095,0.6435963008301528,0.6032650625957967,0.5390649206365535,0.3978167079857217,0.5258269125921964,0.9006240034563989,0.9731343160753412,1.1295857464690209,1.2414002530577815,1.2524014771990823,1.3187890259332788,1.2364032876937796,0.9199502113958298,0.9022633241094115,1.0295131209431032,1.3449144644124635,1.5805322442933412,1.566622707306786,1.462767793768195,1.2777961341823456,0.9634860252440566,0
BR36,1.0185669772353383,1.0300206334913646,1.0024309404255694,0.9373442230180421,0.944202309947278,0.9201556000814761,0.5400526428705942,0.5021595423058917,0.7730811045191349,0.8848831134303977,1.1472917497006259,1.196893514500527,1.090620295605792,1.1309658133318985,1.1454470111278883,0.9121526900968059,0.8399148978690784,0.8776398016815607,0.9577394356501608,1.1783050605293541,1.298316156089299,1.3309626031250688,1.2545578720036281,1.0862960113632278,1
BR37,1.1122877377114644,1.0890152437290488,1.0749044530738883,1.0566596033610915,1.0805801921126377,1.2426824413369901,0.8871337231448799,0.6248517340012856,1.9015002330113455,1.4407637698658027,1.1834701465209707,0.9361532547736638,0.9357113719765294,0.8605716572282411,0.738445071717987,0.519467596693571,0.5441933940976732,0.6498328414659544,0.8233651257095186,1.0611275294210067,1.0563060971233837,1.0184514708355308,1.065497259303781,1.097028051783754,1
BR38,0.9027687508124271,0.9140777330040298,0.6546210841024308,0.6061354478096973,0.5702586767190954,0.5455608995190434,0.2066813986741194,0.4250617444430002,1.6663200311971926,1.9767320941115305,1.2295593396594309,1.3232809047185754,1.3082022617964386,0.9957103860652543,0.8340049395554402,0.5532302092811648,0.7105160535551801,0.9595736383725466,1.1407773300402966,1.670869621734044,1.4163525282724558,1.3919147276745094,1.1312881840634346,0.8665020148186664,0
BR39,1.539660990507957,1.578171458498545,1.5579579200335778,1.4883582721547552,1.4450117095148862,1.396205040012926,0.792740657924305,0.5328395712887524,0.5801530687100591,0.7098361782223452,0.763456656223129,0.7710339473786845,0.8740405347933239,1.004592804173453,1.0052613886871786,0.7185277769007765,0.5802422133118892,0.5339093065107131,0.5782587459211702,0.7497506736917566,0.9409881307677022,1.0723427015643021,1.3213458606261295,1.4653143925816834,1
BR42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BR43,1.2833788901310512,0.9531925852653512,0.9640793917435865,0.9693472013298292,0.950453324280505,0.9140000819437046,0.6485727162582163,0.6592488103530018,0.5390022768643656,0.8163700109453377,1.0756164800496344,1.2076629070114544,1.171279902135804,1.1319469238918576,1.1355992718716528,0.9287499487851846,0.6924711294769065,0.4404591188710498,0.4622327318275202,0.9165286305451013,1.4325632576134482,1.52668145555432,1.5517562291848357,1.628806724066281,1
